Хост,IP,Порт,Статус,Сервис
127.0.0.1,127.0.0.1,88,Открыт,kerberos
127.0.0.1,127.0.0.1,445,Открыт,microsoft-ds
127.0.0.1,127.0.0.1,3306,Открыт,mysql
127.0.0.1,127.0.0.1,8000,Открыт,irdmi
127.0.0.1,127.0.0.1,8698,Открыт,Unknown
127.0.0.1,127.0.0.1,19575,Открыт,Unknown
127.0.0.1,127.0.0.1,19576,Открыт,Unknown
127.0.0.1,127.0.0.1,19577,Открыт,Unknown
127.0.0.1,127.0.0.1,62157,Открыт,Unknown
127.0.0.1,127.0.0.1,62158,Открыт,Unknown
192.168.1.142,192.168.1.142,88,Открыт,kerberos
192.168.1.142,192.168.1.142,445,Открыт,microsoft-ds
192.168.1.142,192.168.1.142,5000,Открыт,commplex-main
192.168.1.142,192.168.1.142,5432,Открыт,postgresql
192.168.1.142,192.168.1.142,65284,Открыт,Unknown
